,Families,Incidence
0,CBM48+GH13,45737
1,CBM50+GH23,14178
2,CBM91+GH43,9730
3,CBM34+GH13,8244
4,CBM5+GH18,5750
5,CE4+GH153,4586
6,GT2+GT4,4244
7,CBM41+CBM48+GH13,4194
8,CBM50+GH73,2589
9,CBM50+GH18,2559
10,GH94+GT84,2266
11,CBM50+GH0,1914
12,AA10+CBM73,1794
13,AA10+CBM5,1655
14,CBM2+GH18,1651
15,CBM2+GH5,1472
16,GH17+GT2,1412
17,CBM50+GH25,1307
18,GT0+GT2,1305
19,CBM12+GH18,1299
20,CBM43+GH17,1267
21,CBM6+GH43,1255
22,CBM18+GH19,1170
23,CBM13+GT27,1148
24,CBM20+GH13,1129
25,CBM35+GH5,1049
26,CBM73+GH19,1032
27,CBM48+CBM68+GH13,999
28,CBM5+GH19,950
29,CBM16+GH18,872
30,CBM3+GH5,855
31,GT111+GT8,824
32,CBM67+GH78,815
33,GH0+GH13,776
34,CBM5+CBM73+GH18,775
35,CBM13+GH43,773
36,CE4+GH18+GT2,716
37,CBM32+GH85,713
38,CBM2+GH6,702
39,CBM32+GH87,675
40,CBM14+GH18,670
41,CE4+GT2,654
42,CBM43+GH72,644
43,CBM20+GH77,637
44,CBM32+GH31,637
45,CBM26+GH13,630
46,CBM32+GH2,622
47,CBM61+GH53,574
48,CBM40+GH33,567
49,CBM13+GH30,557
50,CBM32+GH84,541
51,CBM13+GH16,504
52,CBM66+GH32,501
53,CBM51+GH27,484
54,CBM70+PL8,482
55,CBM35+GH27,478
56,GH43,478
57,AA10+CBM2,471
58,CBM6+GH16,468
59,CBM42+GH43,462
60,CBM2+GH10,457
61,CBM22+GH10,446
62,CBM18+GH16,444
63,GT2+GT25,437
64,CBM32+GH35,435
65,CE4+GT4,425
66,CBM3+GH9,422
67,CBM6+GH3,413
68,GH13+GH133,409
69,CBM38+GH32,389
70,CBM32+GH101,384
71,CBM32+GH43,368
72,CBM20+GH15,359
73,CBM2+GH48,358
74,CBM4+GH9,354
75,CBM6+GH5,351
76,CBM32+GH20,342
77,AA10+CBM12,341
78,CBM13+GH27,333
79,GT47+GT64,325
80,CBM13+GH62,325
81,CBM32+GH55,317
82,CBM35+GH98,310
83,CBM73+GH18,310
84,CBM13+GH10,298
85,CE8+PL1,298
86,CBM32+GH29,294
87,CBM0+CBM22,287
88,CBM12+CE4,277
89,CBM94+GT54,271
90,GT31+GT7,270
91,CBM63+GH5,267
92,CBM93+GH33,265
93,CBM32+GH16,260
94,CBM1+GH7,252
95,CBM18+GH18,249
96,CBM12+GH19,246
97,AA9+CBM1,244
98,CBM2+GH74,242
99,CBM0+GH92,239
100,AA5+CBM13,238
101,CBM35+GH39,237
102,CBM25+GH13,234
103,CBM35+GH31,230
104,CBM35+GH43,229
105,CBM71+GH2,228
106,CBM13+CBM6,228
107,CBM2+GH11,224
108,CBM39+GH16,223
109,GT0+GT4,223
110,CBM42+GH54,221
111,CBM57+GH2,221
112,CBM2+GH12,220
113,CBM2+CE1,216
114,CBM46+GH5,210
115,GT2+GT8,210
116,CBM1+GH5,208
117,GH13+GH77,205
118,CBM13+GH18,198
119,CBM32+GH158,197
120,CBM35+GH26,195
121,CBM5+CBM73,191
122,CE12+CE8,187
