,Families,Incidence,Num_of_fams,Num_of_catalytic_domains
5,CE4+GH153,4586,2,2
6,GT2+GT4,4244,2,2
10,GH94+GT84,2266,2,2
16,GH17+GT2,1412,2,2
18,GT0+GT2,1305,2,2
31,GT111+GT8,824,2,2
33,GH0+GH13,776,2,2
36,CE4+GH18+GT2,716,3,3
41,CE4+GT2,654,2,2
63,GT2+GT25,437,2,2
65,CE4+GT4,425,2,2
68,GH13+GH133,409,2,2
79,GT47+GT64,325,2,2
85,CE8+PL1,298,2,2
90,GT31+GT7,270,2,2
109,GT0+GT4,223,2,2
115,GT2+GT8,210,2,2
117,GH13+GH77,205,2,2
122,CE12+CE8,187,2,2
130,GT49+GT8,165,2,2
137,GH1+GT4,154,2,2
140,GH13+GT5,150,2,2
151,GH26+GT2,137,2,2
158,GT101+GT8,127,2,2
163,GH33+GH78,120,2,2
165,GH142+GH143,115,2,2
171,GT2+GT45,109,2,2
179,CBM0+CBM57+GH137+GH2,104,4,2
184,GT4+GT97,102,2,2
193,AA3+AA8,93,2,2
197,CBM13+GH10+GH62,90,3,2
199,GT3+GT35,90,2,2
204,GH16+GH43,86,2,2
207,CBM48+GH13+GH77,84,3,2
208,GH18+GH20,82,2,2
209,GH57+GT4,82,2,2
211,CE0+GH9,80,2,2
223,CBM48+CE0+CE6,71,3,2
225,GT0+GT32,70,2,2
227,GT2+GT26,68,2,2
236,GT102+GT103+GT99,62,3,3
250,GT2+GT4+GT99,56,3,3
256,CE12+PL11,55,2,2
262,GT102+GT103,52,2,2
273,GT1+GT2,49,2,2
276,CBM25+GH13+GH14,48,3,2
277,GT2+GT41,48,2,2
278,CBM40+GH16+GH33,48,3,2
281,AA3+AA8+CBM1,47,3,2
285,CBM34+GH13+GH77,47,3,2
288,CBM3+CBM35+GH26+GH44,46,4,2
289,GH16+GT25,46,2,2
294,CE8+PL10,45,2,2
297,GH120+GH51,44,2,2
298,GH16+GH20,43,2,2
300,CE0+GT2,43,2,2
301,GT101+GT2,42,2,2
307,GH105+PL33,41,2,2
308,CE0+PL10,41,2,2
313,GT2+GT32,40,2,2
314,GT111+GT2+GT8,40,3,3
317,CE20+GH105,40,2,2
328,GT10+GT25,36,2,2
329,GT2+GT4+GT41,36,3,3
330,GH43+GH51,36,2,2
331,GT32+GT62,36,2,2
335,GH42+GH43,35,2,2
339,GH105+GH154,33,2,2
342,CBM32+GH20+GH84,33,3,2
344,GT26+GT4,32,2,2
351,CBM48+CE0+GH10,31,3,2
355,CBM32+GH2+GH64,31,3,2
360,CBM32+GH158+GH16,30,3,2
364,GT4+GT9,30,2,2
365,GT0+GT25,30,2,2
366,GT1+GT32,30,2,2
