Num_of_CAZymes,Family
70,AA0
6691,AA1
9389,AA10
289,AA11
116,AA12
46,AA13
56,AA14
426,AA15
86,AA16
418,AA17
858,AA2
3264,AA3
82,AA4
907,AA5
833,AA6
142,AA7
216,AA8
1132,AA9
3354,CBM0
2039,CBM1
321,CBM10
198,CBM11
3281,CBM12
14558,CBM13
3667,CBM14
14,CBM15
1331,CBM16
61,CBM17
2574,CBM18
175,CBM19
9821,CBM2
3005,CBM20
1201,CBM21
1470,CBM22
233,CBM23
119,CBM24
592,CBM25
778,CBM26
122,CBM27
71,CBM28
1,CBM29
2396,CBM3
35,CBM30
17,CBM31
12733,CBM32
8454,CBM34
5030,CBM35
183,CBM36
101,CBM37
673,CBM38
274,CBM39
1167,CBM4
873,CBM40
4532,CBM41
1251,CBM42
2872,CBM43
32,CBM44
179,CBM45
277,CBM46
1160,CBM47
54455,CBM48
195,CBM49
11544,CBM5
104782,CBM50
2401,CBM51
23,CBM52
168,CBM53
356,CBM54
19,CBM55
318,CBM56
1147,CBM57
85,CBM58
104,CBM59
5827,CBM6
159,CBM60
967,CBM61
542,CBM62
1392,CBM63
51,CBM64
29,CBM65
1107,CBM66
973,CBM67
1018,CBM68
393,CBM69
512,CBM70
242,CBM71
68,CBM72
4442,CBM73
38,CBM74
3,CBM75
5,CBM76
97,CBM77
9,CBM78
16,CBM79
125,CBM8
4,CBM80
6,CBM81
12,CBM82
6,CBM83
52,CBM84
122,CBM85
10,CBM86
41,CBM87
57,CBM88
16,CBM89
631,CBM9
19,CBM90
10238,CBM91
794,CBM92
268,CBM93
277,CBM94
3138,CE0
5515,CE1
16575,CE11
4474,CE12
503,CE13
7676,CE14
700,CE15
240,CE16
31,CE17
41,CE18
340,CE19
938,CE2
4013,CE20
589,CE3
41208,CE4
4863,CE5
591,CE6
3161,CE7
10429,CE8
23786,CE9
35472,GH0
57995,GH1
7489,GH10
838,GH100
989,GH101
11462,GH102
21951,GH103
3672,GH104
8687,GH105
1899,GH106
34,GH107
6475,GH108
2090,GH109
2670,GH11
961,GH110
30,GH111
716,GH112
1666,GH113
1420,GH114
1824,GH115
1093,GH116
641,GH117
11,GH118
45,GH119
2339,GH12
451,GH120
514,GH121
86,GH122
898,GH123
7,GH124
3638,GH125
1515,GH126
4410,GH127
898,GH128
176,GH129
152208,GH13
4320,GH130
146,GH131
971,GH132
1728,GH133
168,GH134
818,GH135
967,GH136
250,GH137
229,GH138
257,GH139
1233,GH14
1134,GH140
1064,GH141
426,GH142
217,GH143
2488,GH144
2155,GH146
215,GH147
420,GH148
195,GH149
12068,GH15
53,GH150
211,GH151
1292,GH152
4634,GH153
3574,GH154
62,GH156
10,GH157
714,GH158
291,GH159
17194,GH16
21,GH160
180,GH161
34,GH162
354,GH163
35,GH164
391,GH165
1229,GH166
101,GH167
48,GH168
9,GH169
7538,GH17
6340,GH170
4407,GH171
1602,GH172
160,GH173
35857,GH18
14636,GH19
37531,GH2
16876,GH20
1812,GH22
113500,GH23
23146,GH24
17601,GH25
4322,GH26
4394,GH27
15262,GH28
10256,GH29
53597,GH3
5622,GH30
22493,GH31
21451,GH32
9700,GH33
131679,GH34
8177,GH35
12057,GH36
10894,GH37
10095,GH38
4918,GH39
24787,GH4
8175,GH42
32150,GH43
304,GH44
679,GH45
1296,GH46
2719,GH47
1624,GH48
74,GH49
26670,GH5
1525,GH50
7542,GH51
191,GH52
4557,GH53
490,GH54
1667,GH55
470,GH56
4699,GH57
222,GH58
390,GH59
3424,GH6
787,GH62
5842,GH63
1211,GH64
10225,GH65
458,GH66
1577,GH67
2067,GH68
10822,GH7
982,GH70
529,GH71
1507,GH72
35500,GH73
1193,GH74
554,GH75
4192,GH76
15986,GH77
7242,GH78
1089,GH79
9115,GH8
17,GH80
1435,GH81
113,GH82
7954,GH83
2737,GH84
1596,GH85
248,GH86
1466,GH87
4989,GH88
1826,GH89
5937,GH9
522,GH90
555,GH91
11990,GH92
531,GH93
5065,GH94
5072,GH95
15,GH96
4774,GH97
510,GH98
422,GH99
35870,GT0
41000,GT1
2368,GT10
427,GT100
745,GT101
416,GT102
129,GT103
3226,GT104
684,GT105
993,GT106
2979,GT107
564,GT108
74,GT109
2420,GT11
298,GT110
2213,GT111
556,GT112
1391,GT113
122,GT114
80,GT115
309,GT116
155,GT12
457,GT13
3273,GT14
1963,GT15
245,GT16
742,GT17
119,GT18
16230,GT19
324219,GT2
14191,GT20
2060,GT21
1966,GT22
1181,GT23
502,GT24
8999,GT25
15787,GT26
1568,GT27
33310,GT28
1874,GT29
1583,GT3
16226,GT30
4646,GT31
7506,GT32
490,GT33
1238,GT34
24911,GT35
341,GT37
167,GT38
5007,GT39
253005,GT4
66,GT40
6402,GT41
546,GT42
669,GT43
1352,GT44
228,GT45
2074,GT47
4735,GT48
