qseqid,ADL53901.1,BAV13164.1,AAK81317.1,AEI32814.1,NP_349977.1,ADZ22427.1,AWV81016.1,URZ14487.1,URZ13550.1,URZ08519.1,QYM77803.1,UOQ83449.1,UOQ49844.1,QGH37026.1,QDG64572.1,APQ62066.1,AEI43346.1,AFK65394.1,AFH63317.1
ADL53901.1,2.0048899755501224,2.0048899755501224,1.5476772616136918,1.5476772616136918,1.5476772616136918,1.5476772616136918,1.5476772616136918,1.5158924205378974,1.5158924205378974,1.5158924205378974,0.0,0.8337408312958435,0.8361858190709046,0.0,0.0,0.9926650366748166,1.0440097799511003,1.0391198044009782,1.0391198044009782
BAV13164.1,2.0048899755501224,2.0048899755501224,1.5476772616136918,1.5476772616136918,1.5476772616136918,1.5476772616136918,1.5476772616136918,1.5158924205378974,1.5158924205378974,1.5158924205378974,0.0,0.8337408312958435,0.8361858190709046,0.0,0.0,0.9926650366748166,1.0440097799511003,1.0391198044009782,1.0391198044009782
AAK81317.1,1.5388349514563109,1.5388349514563109,2.0242718446601944,2.0242718446601944,2.0242718446601944,2.0242718446601944,2.0242718446601944,1.6213592233009708,1.5970873786407769,1.5970873786407769,0.0,0.0,0.0,0.0,0.0,0.9635922330097088,1.0218446601941749,1.0121359223300972,1.0121359223300972
AEI32814.1,1.5388349514563109,1.5388349514563109,2.0242718446601944,2.0242718446601944,2.0242718446601944,2.0242718446601944,2.0242718446601944,1.6213592233009708,1.5970873786407769,1.5970873786407769,0.0,0.0,0.0,0.0,0.0,0.9635922330097088,1.0218446601941749,1.0121359223300972,1.0121359223300972
NP_349977.1,1.5388349514563109,1.5388349514563109,2.0242718446601944,2.0242718446601944,2.0242718446601944,2.0242718446601944,2.0242718446601944,1.6213592233009708,1.5970873786407769,1.5970873786407769,0.0,0.0,0.0,0.0,0.0,0.9635922330097088,1.0218446601941749,1.0121359223300972,1.0121359223300972
ADZ22427.1,1.5388349514563109,1.5388349514563109,2.0242718446601944,2.0242718446601944,2.0242718446601944,2.0242718446601944,2.0242718446601944,1.6213592233009708,1.5970873786407769,1.5970873786407769,0.0,0.0,0.0,0.0,0.0,0.9635922330097088,1.0218446601941749,1.0121359223300972,1.0121359223300972
AWV81016.1,1.5388349514563109,1.5388349514563109,2.0242718446601944,2.0242718446601944,2.0242718446601944,2.0242718446601944,2.0242718446601944,1.6213592233009708,1.5970873786407769,1.5970873786407769,0.0,0.0,0.0,0.0,0.0,0.9635922330097088,1.0218446601941749,1.0121359223300972,1.0121359223300972
URZ14487.1,1.4939467312348669,1.4939467312348669,1.6077481840193704,1.6077481840193704,1.6077481840193704,1.6077481840193704,1.6077481840193704,2.009685230024213,1.9709443099273607,1.9709443099273607,0.0,0.0,0.0,0.0,0.0,0.937046004842615,1.0169491525423728,1.0121065375302662,1.0121065375302662
URZ13550.1,1.4963680387409202,1.4963680387409202,1.585956416464891,1.585956416464891,1.585956416464891,1.585956416464891,1.585956416464891,1.9733656174334142,2.0121065375302662,2.0121065375302662,0.0,0.0,0.0,0.0,0.0,0.9564164648910412,1.0290556900726393,1.026634382566586,1.026634382566586
URZ08519.1,1.4963680387409202,1.4963680387409202,1.585956416464891,1.585956416464891,1.585956416464891,1.585956416464891,1.585956416464891,1.9733656174334142,2.0121065375302662,2.0121065375302662,0.0,0.0,0.0,0.0,0.0,0.9564164648910412,1.0290556900726393,1.026634382566586,1.026634382566586
QYM77803.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8465753424657532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UOQ83449.1,0.6967871485943775,0.6967871485943775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0200803212851404,1.8614457831325304,1.5261044176706828,1.248995983935743,1.038152610441767,1.0301204819277108,1.0321285140562249,1.0321285140562249
UOQ49844.1,0.6967871485943775,0.6967871485943775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.857429718875502,2.0301204819277108,1.5461847389558232,1.2329317269076303,1.022088353413655,1.0441767068273091,1.0421686746987953,1.0421686746987953
QGH37026.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5503080082135523,1.5749486652977414,2.0390143737166326,1.2587268993839835,1.080082135523614,1.11088295687885,1.1170431211498972,1.1170431211498972
QDG64572.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.220703125,1.208984375,1.21484375,2.0078125,1.01171875,1.02734375,1.03125,1.03125
APQ62066.1,1.0149625935162094,1.0149625935162094,0.9825436408977556,0.9825436408977556,0.9825436408977556,0.9825436408977556,0.9825436408977556,0.972568578553616,0.9875311720698254,0.9875311720698254,0.0,1.2718204488778055,1.2568578553615959,1.3092269326683292,1.2618453865336658,2.0074812967581046,1.4862842892768082,1.4837905236907731,1.4837905236907731
